Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara"," https://web.physics.ucsb.edu/~Women/images/ucsb- big.jpg"
Yosemite,One of the most beautiful National Parks on earth!,37.748808,-119.496216,https://www.nps.gov/yose/index.htm,"https://sgl-assets.imgix.net/files/article_hero/yosemite-glacier-point-sunset-national-park-summer-activities-things-to-do-via-magazine-shutterstock_552174034.jpg?w=1440&h=720&crop=faces,edges"
San Fransisco,A busy city on the chilly coast of California.,37.748993,-122.41563,https://en.wikipedia.org/wiki/San_Francisco,https://worldstrides.com/wp-content/uploads/2015/07/iStock_000061296808_Large-1.jpg
San Juan De Los Lagos,A lively city in the center of Mexico.,21.245267,-102.333569,https://en.wikipedia.org/wiki/San_Juan_de_los_Lagos,https://q-cf.bstatic.com/images/hotel/max1024x768/159/159088418.jpg
Langtang National Park,A Himilayan National Park in east Nepal.,28.196241,85.542584,https://en.wikipedia.org/wiki/Langtang_National_Park,https://www.nepaltrekking.com/wp-content/uploads/2019/03/langtang-national-park-975x540.jpg
Santa Cruz,A great beach city on the central coast of California,36.954215,-122.033233,"https://en.wikipedia.org/wiki/Santa_Cruz,_California",https://pix6.agoda.net/geo/city/20960/1_20960_02.jpg?s=1920x822
